DateHitNumberOne,Artist,Song,WeeksAtNumberOne
20-Jan-90,Michael Bolton,"""How Am I Supposed to Live Without You""",3
10-Feb-90,Paula Abdul & The Wild Pair,"""Opposites Attract""",3
3-Mar-90,Janet Jackson,"""Escapade""",3
24-Mar-90,Alannah Myles,"""Black Velvet""",2
7-Apr-90,Taylor Dayne,"""Love Will Lead You Back""",1
14-Apr-90,Tommy Page,"""I'll Be Your Everything""",1
21-Apr-90,Sinéad O'Connor,"""Nothing Compares 2 U""",4
19-May-90,Madonna,"""Vogue""",3
9-Jun-90,Wilson Phillips,"""Hold On""? (1990)",1
16-Jun-90,Roxette,"""It Must Have Been Love""",2
30-Jun-90,New Kids on the Block,"""Step By Step""",3
21-Jul-90,Glenn Medeiros featuring Bobby Brown,"""She Ain't Worth It""",2
4-Aug-90,Mariah Carey,"""Vision Of Love""",4
1-Sep-90,Sweet Sensation,"""If Wishes Came True""",1
8-Sep-90,Jon Bon Jovi,"""Blaze Of Glory""",1
15-Sep-90,Wilson Phillips,"""Release Me""",2
29-Sep-90,Nelson,"""(Can't Live Without Your) Love And Affection""",1
6-Oct-90,Maxi Priest,"""Close To You""",1
13-Oct-90,George Michael,"""Praying For Time""",1
20-Oct-90,James Ingram,"""I Don't Have the Heart""",1
27-Oct-90,Janet Jackson,"""Black Cat""",1
3-Nov-90,Vanilla Ice,"""Ice Ice Baby""",1
10-Nov-90,Mariah Carey,"""Love Takes Time""",3
1-Dec-90,Whitney Houston,"""I'm Your Baby Tonight""",1
8-Dec-90,Stevie B,"""Because I Love You (The Postman Song)""",4
5-Jan-91,Madonna,"""Justify My Love""",2
19-Jan-91,Janet Jackson,"""Love Will Never Do (Without You)""",1
26-Jan-91,Surface,"""The First Time""",2
9-Feb-91,C+C Music Factory featuring Freedom Williams,"""Gonna Make You Sweat (Everybody Dance Now)""",2
23-Feb-91,Whitney Houston,"""All The Man That I Need""",2
9-Mar-91,Mariah Carey,"""Someday""",2
23-Mar-91,Timmy T,"""One More Try""",1
30-Mar-91,Gloria Estefan,"""Coming Out Of The Dark""",2
13-Apr-91,Londonbeat,"""I've Been Thinking About You""",1
20-Apr-91,Wilson Phillips,"""You're In Love""",1
27-Apr-91,Amy Grant,"""Baby Baby""",2
11-May-91,Roxette,"""Joyride""",1
18-May-91,Hi-Five,"""I Like the Way (The Kissing Game)""",1
25-May-91,Mariah Carey,"""I Don't Wanna Cry""",2
8-Jun-91,Extreme,"""More Than Words""",1
15-Jun-91,Paula Abdul,"""Rush Rush""",5
20-Jul-91,EMF,"""Unbelievable""",1
27-Jul-91,Bryan Adams,"""(Everything I Do) I Do It For You""? (1991)",7
