Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
Nelson,"""(Can't Live Without Your) Love And Affection""",1,5Dul2niQrT8tyJ3gEj1QOI,5.0,0.00279,0.561,0.845,0.0662,0.0325,0.885,122.226,0,-7.835
Bryan Adams,"""(Everything I Do) I Do It For You""?Â (1991)",7,,,,,,,,,,,
Boyz II Men,"""4 Seasons of Loneliness""",1,1iXQ8vFbtMN5VPfIYi6AeH,0.0,0.789,0.59,0.448,0.124,0.0449,0.197,98.461,2.71e-05,-12.043
Peabo BrysonÂ &Â Regina Belle,"""A Whole New World""",1,,,,,,,,,,,
Janet Jackson,"""Again""",2,37yIn00k3ufeROwOFZRdCd,2.0,0.843,0.352,0.349,0.114,0.0295,0.259,130.135,0.11,-7.661
Color Me Badd,"""All 4 Love""",1,7te3fVEl9KUpZHkHreokRO,9.0,0.114,0.788,0.753,0.24,0.0327,0.937,105.957,0,-5.788
"Bryan Adams,Â Rod StewartÂ &Â Sting","""All For Love""",3,,,,,,,,,,,
K-Ci & JoJo,"""All My Life""",3,61kjR07Okroit1Xt97TJDb,9.0,0.112,0.634,0.504,0.104,0.0291,0.175,128.013,3.41e-06,-8.638
Whitney Houston,"""All The Man That I Need""",2,2FNSYTMFDRwejcnODZdHPd,0.0,0.995,0.66,0.0194,0.0864,0.0577,0.476,141.254,0.973,-36.471
Mariah Carey,"""Always Be My Baby""",2,3UMCDzsVeINAWOv32okq4l,10.0,0.988,0.419,0.289,0.139,0.043,0.4,138.613,0.926,-16.359
Monica,"""Angel Of Mine""",4,,,,,,,,,,,
Amy Grant,"""Baby Baby""",2,1dCc4zqSRHceUUK5e3dVmn,7.0,0.0342,0.699,0.428,0.0944,0.0508,0.422,110.026,0.888,-11.107
Sir Mix-A-Lot,"""Baby Got Back""",5,79FOIjaKSuGz8I5HlSdbC0,0.0,0.0726,0.969,0.767,0.0435,0.273,0.819,126.065,1.64e-05,-9.533
Britney Spears,"""Baby One More Time""",2,2I320CTP7hYFTtiFo1H6CD,42.0,0.165,0.659,0.866,0.0988,0.0351,0.765,100.997,3.65e-05,-5.789
