Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
Africa,Weezer,51,5YfyHS6P8yT5t6MIOLeSZR,16,0.175,0.436,0.275,0.065,0.0391,0.403,91.998,0.849,-8.164
Always Remember Us This Way,Lady Gaga,41,4GpDe6qVYOXVoZoYxNaj7c,6,0.914,0.725,0.217,0.109,0.0673,0.436,132.041,0.877,-18.539
Astronauts,Future & Juice WRLD,82,,,,,,,,,,,
Back To You,Selena Gomez,18,1RPsMSxH5JMsUjIYTFiwQg,17,0.883,0.682,0.195,0.107,0.0422,0.523,85.932,0.72,-21.114
Backin' It Up,Pardison Fontaine Featuring Cardi B,92,,,,,,,,,,,
Beautiful,Bazzi Featuring Camila Cabello,31,,,,,,,,,,,
Best Part,Daniel Caesar Featuring H.E.R.,75,,,,,,,,,,,
Best Shot,Jimmie Allen,61,5jQhcmKyPvWnlT2A1WWnjc,0,0.802,0.648,0.259,0.0967,0.0362,0.436,156.612,0.674,-14.651
Better Now,Post Malone,3,2jS1Wnfq5rTCEVRz8UzqEf,7,0.107,0.705,0.241,0.0799,0.0437,0.0976,145.005,0.93,-15.145
Better,Khalid,34,1M0IQHiXsUQOXg6cZddls4,0,0.0156,0.772,0.855,0.126,0.0507,0.845,101.128,0.816,-12.001
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",16,,,,,,,,,,,
Biggest Alley Oop,Quavo,86,,,,,,,,,,,
Blue Tacoma,Russell Dickerson,52,2j8r46vPmaj1O1G1R6r3il,49,0.147,0.574,0.638,0.185,0.062,0.695,159.753,0,-8.894
Boo'd Up,Ella Mai,5,6aZXIumUdy21DZGB4kkhXP,24,0.0758,0.436,0.772,0.0765,0.0621,0.213,81.807,0,-5.163
Break Up In The End,Cole Swindell,49,5TyqOlYtz8o4qxQs2sewRm,1,0.769,0.566,0.16,0.179,0.0306,0.196,86.691,0.863,-22.541
Breathin,Ariana Grande,22,2LWl29irM7gTomz2nAFW8p,7,0.966,0.503,0.291,0.113,0.062,0.126,199.997,0.928,-18.197
Broken,lovelytheband,30,3mHlR7nTBHM4BP2yFU28Xy,10,0.0218,0.588,0.731,0.0794,0.032,0.254,123.391,0.916,-9.385
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,78,,,,,,,,,,,
Close Friends,Lil Baby,28,,,,,,,,,,,
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,69,,,,,,,,,,,
Delicate,Taylor Swift,12,6dHALvsmXwgyjaRdThmdAj,19,0.728,0.341,0.436,0.111,0.0888,0.454,189.458,0,-8.375
Desperate Man,Eric Church,68,1GLGfSerlDXRYBCJtHHnua,60,0.907,0.442,0.335,0.273,0.0979,0.394,177.372,0.132,-17.789
Don't Cry,Lil Wayne Featuring XXXTENTACION,5,,,,,,,,,,,
Drew Barrymore,Bryce Vine,46,3NxqQMgZv24JmPFXKBkynm,11,0.221,0.752,0.498,0.113,0.102,0.24,152.648,0.929,-10.516
