Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
'Til,The Angels,14,4xDL1E4h0s3gHADCG7EQBd,0.0,0.725,0.508,0.368,0.133,0.0248,0.337,90.04299999999999,0.818,-7.697
('til) I Kissed You,The Everly Brothers,4,0hA25gRi0Gh56Lb1wrud2Q,0.0,0.0231,0.7040000000000001,0.6859999999999999,0.183,0.0284,0.579,138.562,0.0,-8.509
(All of a Sudden) My Heart Sings,Paul Anka,15,5Eeq19q3Ft77GpSENEZL2I,23.0,0.809,0.307,0.267,0.26899999999999996,0.0327,0.39,111.322,0.0,-11.898
(Baby) Hully Gully,The Olympics,72,0y5gB4JoCqvHeMoVbK6GZh,0.0,0.591,0.662,0.7390000000000001,0.374,0.031,0.9540000000000001,116.167,2.2800000000000002e-05,-5.843999999999999
(Dance The) Mess Around,Chubby Checker,24,0w6KXM33lFxPhNH46VFeno,0.0,0.0783,0.541,0.594,0.205,0.0979,0.743,141.885,0.0,-11.422
(Do The New) Continental,The Dovells,37,4Fk2sC8CIjJvOxg0DClEjv,0.0,0.204,0.698,0.748,0.25,0.0554,0.909,120.441,0.0,-6.3389999999999995
(Ghost) Riders In The Sky,Ramrods,30,1D2yJKjfJoUPgw1IdBmcjQ,0.0,0.745,0.445,0.835,0.613,0.0455,0.35100000000000003,120.956,0.601,-7.598
"(Girls, Girls, Girls) Made To Love",Eddie Hodges,14,6IIQVcryuNSvuPcfzwkAfN,2.0,0.26899999999999996,0.6990000000000001,0.5379999999999999,0.0524,0.0472,0.45299999999999996,88.899,0.0,-5.462000000000001
(He's My) Dreamboat,Connie Francis,14,7121qM2g5al2WehLUDOqBm,6.0,0.899,0.34700000000000003,0.253,0.322,0.0321,0.475,70.41,0.0188,-12.802999999999999
(He's) The Great Impostor,The Fleetwoods,30,2NBfPm9rWk2nYVDengT80Z,10.0,0.733,0.499,0.249,0.105,0.0422,0.539,117.163,0.0,-11.793
(I Can't Help You) I'm Falling Too,Skeeter Davis,39,5n0NEtDtt8ZmpdUNjmk1R9,0.0,0.122,0.612,0.41200000000000003,0.363,0.0263,0.45799999999999996,136.01,0.0199,-8.225
(I Cried at) Laura's Wedding,Barbara Lynn,68,1kWnbqS0pNBX9UNFIdBoXw,3.0,0.84,0.579,0.299,0.11699999999999999,0.0304,0.19399999999999998,89.463,4.71e-05,-8.729
(I Do The) Shimmy Shimmy,Bobby Freeman,37,5w9Lkgx3N8vHxbkMTlCUv1,1.0,0.6859999999999999,0.6990000000000001,0.561,0.58,0.0827,0.85,90.223,0.0,-12.056
(I Don't Care) Only Love Me,Steve Lawrence,62,5NNgcXHZfOFUq6tzJ2UEQP,2.0,0.486,0.539,0.524,0.149,0.19899999999999998,0.8370000000000001,141.944,2.6899999999999997e-05,-12.487
(I Wanna) Dance With The Teacher,The Olympics,71,1CvJFpP55UcnaA2hQzUw3X,0.0,0.687,0.51,0.69,0.11199999999999999,0.0458,0.963,166.235,0.0,-10.738
(I Wanna) Love My Life Away,Gene Pitney,39,2bRxJlMmM5oFfOgvYhUq5K,0.0,0.34299999999999997,0.637,0.6729999999999999,0.0923,0.0346,0.9159999999999999,136.493,0.396,-10.046
(I was) Born To Cry,Dion,42,33Bm02THYi0sgIRTvxigbQ,18.0,0.611,0.39799999999999996,0.8140000000000001,0.326,0.0726,0.625,119.01700000000001,0.0,-4.346
(I'll Be With You In) Apple Blossom Time,Tab Hunter,31,7p4NwdRBX4tbBaQBRZXnTM,6.0,0.856,0.585,0.45,0.0777,0.0357,0.627,130.16,4.92e-06,-9.468
(I'm Watching) Every Little Move You Make,Little Peggy March,84,5XwszjwjjXOWFKMRGGRf7I,0.0,0.677,0.6809999999999999,0.514,0.33,0.0367,0.965,120.95100000000001,0.0,-10.509
(I've Got) Bonnie,Bobby Rydell,18,5XbZjYB4z9OIJhutiDJeSV,10.0,0.77,0.32899999999999996,0.39799999999999996,0.242,0.0286,0.698,75.194,0.0,-7.385
(I've Got) Spring Fever,Little Willie John,71,6fumpKW0ZNcq38MwzPHx4t,0.0,0.856,0.556,0.49,0.19699999999999998,0.0431,0.823,133.941,0.0,-9.167
"(If You Cry) True Love, True Love",The Drifters,33,0lCJ5e0KlDxRQXFjvXBzC3,2.0,0.6829999999999999,0.485,0.31,0.17800000000000002,0.0378,0.529,142.812,0.0,-12.489
(Just Like) Romeo & Juliet,The Reflections,6,11uWix0e7SKGOkmaH7vNIG,0.0,0.38299999999999995,0.8079999999999999,0.47100000000000003,0.0835,0.0395,0.9570000000000001,144.077,2.05e-06,-11.975999999999999
(Love Theme From) One Eyed Jacks,Ferrante & Teicher,37,7omQ1dTfirceVNW9JbRPON,2.0,0.919,0.359,0.49200000000000005,0.258,0.0279,0.20600000000000002,99.448,0.7020000000000001,-8.548
(Marie's The Name) His Latest Flame,Elvis Presley,4,52SmTzTlcpvu0QRHApfVrx,0.0,0.43799999999999994,0.5660000000000001,0.804,0.102,0.0368,0.941,105.51100000000001,0.0555,-7.256
(New In) The Ways Of Love,Tommy Edwards,47,4pNXt2MMFvTSBOkOPWjD8r,1.0,0.715,0.386,0.322,0.0544,0.032,0.508,178.668,0.0,-13.017999999999999
(That's) What The Nitty Gritty Is,Shirley Ellis,72,0YgdjmDh0OEGyFsMBHjEoH,18.0,0.133,0.6,0.912,0.48,0.18100000000000002,0.8240000000000001,128.767,0.0,-4.781000000000001
(The Best Part Of) Breakin' Up,The Ronettes,39,6HnZM0TzmovY7tMfErwGEl,0.0,0.401,0.483,0.718,0.129,0.0475,0.6729999999999999,105.30799999999999,0.00124,-10.144
(The Man Who Shot) Liberty Valance,Gene Pitney,4,5aHaChkLaDNzWEzOSBXBOc,4.0,0.7040000000000001,0.601,0.579,0.297,0.0776,0.85,86.868,0.0,-10.075
(Theme From) Any Number Can Win,Jimmy Smith,96,6i26zQpmVbXkAHWCnEJHWq,9.0,0.7090000000000001,0.721,0.6809999999999999,0.39299999999999996,0.0298,0.965,96.912,0.898,-11.190999999999999
(There Was A) Tall Oak Tree,Dorsey Burnette,23,48aOBMDkZvoFtfQSmSw2ez,0.0,0.498,0.7090000000000001,0.315,0.313,0.0624,0.426,137.012,6.27e-06,-17.088
(There's) Always Something There To Remind Me,Lou Johnson,49,1zc9G4b4zbRptS59Lg8VZu,22.0,0.47200000000000003,0.574,0.469,0.0742,0.0621,0.746,77.801,0.0,-8.163
(Today I Met) The Boy I'm Gonna Marry,Darlene Love,39,26PFBxZ1Dhub2pFSolM70v,0.0,0.0024,0.531,0.612,0.14400000000000002,0.0308,0.805,91.40799999999999,0.8540000000000001,-10.357000000000001
(What A Sad Way) To Love Someone,Ral Donner,74,3oAO6ML8c5BaxDV5MyrWlM,0.0,0.87,0.603,0.32799999999999996,0.106,0.0285,0.45899999999999996,79.35300000000001,0.000169,-11.817
(You Can't Let The Boy Overpower) The Man In You,The Miracles,59,48homoFh1wmurhJTF86l5A,3.0,0.386,0.5870000000000001,0.546,0.27699999999999997,0.0294,0.748,94.999,0.0,-8.341000000000001
(You Don't Know) How Glad I Am,Nancy Wilson,11,76DYqAyIQU6dQ5vZEnWSUO,9.0,0.8320000000000001,0.39,0.424,0.345,0.0335,0.606,49.824,0.000175,-10.135
(You Were Made For) All My Love,Jackie Wilson,12,5OPGXC7ixg9TsRI5NKn5xj,6.0,0.929,0.34,0.39399999999999996,0.0706,0.0321,0.552,119.00399999999999,0.000152,-8.706
